2021.01.05 13:11:50 INFO  web[][DbMigrations] #3432 'Add tech index on 'group_uuid' column of 'PROJECT_MEASURES' table': success | time=6ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3433 'Populate 'uuid' column for 'PROJECT_MEASURES''...
2021.01.05 13:11:50 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3433 'Populate 'uuid' column for 'PROJECT_MEASURES'': success | time=10ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3434 'Drop tech index on 'group_id' column of 'PROJECT_MEASURES' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3434 'Drop tech index on 'group_id' column of 'PROJECT_MEASURES' table': success | time=5ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3435 'Make 'uuid' column not nullable for 'PROJECT_MEASURES''...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3435 'Make 'uuid' column not nullable for 'PROJECT_MEASURES'': success | time=7ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3436 'Drop primary key on 'ID' column of 'PROJECT_MEASURES' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3436 'Drop primary key on 'ID' column of 'PROJECT_MEASURES' table': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3437 'Add primary key on 'UUID' column of 'PROJECT_MEASURES' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3437 'Add primary key on 'UUID' column of 'PROJECT_MEASURES' table': success | time=2ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3438 'Drop column 'ID' of 'PROJECT_MEASURES' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3438 'Drop column 'ID' of 'PROJECT_MEASURES' table': success | time=4ms
